Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_True,Cabin_S
0.7742742742742743,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0
0.40890890890890885,0.7770270270270271,0.6886886886886887,0.7432432432432432,0.8643671825835881,0.7447447447447447,1,0,0,0,0,1,0,1
0.962962962962963,0.7447447447447447,0.9619287548157841,0.0,0.9938847225143432,0.7487487487487487,0,1,0,0,0,1,1,1
0.6571571571571571,0.0,0.9118278841106005,0.8605431304940667,0.9774276694612658,0.8081826347324155,0,1,0,0,0,1,0,1
0.15515515515515516,0.8237228730146577,0.7455780780780782,0.8150150150150149,0.8674577796989115,0.6621621621621622,1,0,0,0,0,1,0,1
0.8478478478478478,0.0,0.8316545268672928,0.0,0.8254432540146825,0.0,1,0,0,0,1,0,0,0
0.47297297297297297,0.7437437437437437,0.9227425044838136,0.6856856856856857,0.0,0.0,1,0,0,0,0,1,0,1
0.6951951951951951,0.0,0.8758832565284177,0.7312312312312312,0.8072779020126041,0.0,1,0,0,0,0,1,0,1
0.12012012012012012,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0
0.8593593593593594,0.7417417417417418,0.9872620386939499,0.8915310764489909,0.7727727727727728,0.7887887887887888,1,1,0,0,0,0,0,0
0.6351351351351351,0.7617617617617618,0.0,0.9590611104621979,0.0,0.7838665111392383,1,0,1,0,0,1,0,0
0.8908908908908909,0.8943374512236785,0.6486486486486487,0.7796939709691388,0.0,0.7257257257257257,0,0,0,0,0,1,0,1
0.5345345345345345,0.6986986986986987,0.8973211545521611,0.7207207207207207,0.6456456456456456,0.6896896896896897,1,0,0,0,0,1,0,0
0.40890890890890885,0.0,0.6486486486486487,0.0,0.0,0.8848848848848849,0,0,0,0,0,0,0,0
0.8593593593593594,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0
0.12012012012012012,0.8431915281230351,0.0,0.6636636636636637,0.0,0.8912245578912246,0,0,0,0,0,0,0,0
0.8998998998998999,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
0.06706706706706707,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1
0.3033033033033033,0.928276651729353,0.6591591591591591,0.7811144477811144,0.0,0.0,0,0,1,0,0,1,0,0
0.13763763763763764,0.0,0.7922922922922924,0.0,0.9246753715657045,0.0,0,0,0,0,0,1,0,1
0.8338338338338338,0.9386470644758336,0.0,0.8103103103103103,0.7367367367367368,0.0,0,0,1,0,0,1,0,0
0.6351351351351351,0.0,0.8862654845447698,0.7877877877877878,0.8493493493493494,0.8561098341411372,0,0,0,0,0,1,0,1
